korean_NAP_sector,GGA_target_code,GGA_target_label,alignment_strength,korean_policy_instrument,UAE_belem_indicator_match,IRR_2025_estimate,data_confidence,evidence_quote_korean,evidence_quote_belem,reference
사회·경제 적응,GGA-IND,Global Goal on Adaptation indicators framework,◐MED,리스크-기반 의사결정 체계 + 5년 주기 평가 + 적응정보시스템 (Authority+Nodality),Iterative process targets (UAE Framework Decision 2/CMA.5),0.65,HIGH,기후위기 적응대책 평가체계 마련 및 5년 주기로 종합평가 실시 (제3차 적응대책 §VI.3),Parties shall undertake assessment planning implementation monitoring of adaptation efforts (UAE Framework target),KEI WP 2024-08; FCCC/PA/CMA/2025/L.25E
사회·경제 적응,ADAPT-FIN,Adaptation finance — 사회경제 부문,○LOW,국내 사회보장 + 재해안전예산 (Treasure 강함 국제 기여국 stance 미약),Tripling adaptation finance by 2035 (FCCC/PA/CMA/2025/L.24),0.38,LOW_CONFIDENCE,기후위기 적응 관련 사회부문 예산 확대 계획 (제3차 §VI.2); GCF 기여금 미명시,Triple adaptation finance from $40B(2025) to ~$120B by 2035 — developing country Party support,FCCC/PA/CMA/2025/L.24; 외교부 seq_371781
사회·경제 적응,L&D-OP,Loss and Damage Fund Operations,○LOW,국내 재해보험 + 자연재난 피해지원 (Treasure만 국제 직접 접근 미연계),FRLD direct access modality (FCCC/CP/2025/inf02),0.35,HIGH,풍수해보험·기상재해 보험상품 다양화 (제3차 §IV.2),Direct access modalities for SIDS and LDCs to FRLD,FRLD COP28 decisions; KEI 풍수해보험 보고서
사회·경제 적응,NAPs,National Adaptation Plans — 사회경제 sector mainstreaming,◐MED,사회경제 분야 5년 주기 NAP + 취약계층 적응지원 체계 (Authority),NAP sectoral mainstreaming across economy (FCCC/SBI/2025/17),0.60,MEDIUM,사회경제 분야 기후위기 적응대책 수립 및 이행 (탄소중립기본법 §47); 취약계층 지원체계,NAP process should cover all sectors including socioeconomic (Paris Art. 7.9),제3차 §VI; FCCC/SBI/2025/17
사회·경제 적응,MIT-ADAPT,Mitigation-Adaptation nexus — 탄소중립-적응 통합,◐MED,탄소중립 전환과 사회경제 적응의 공편익 (정합 추구),SBSTA work on mitigation-adaptation co-benefits,0.55,MEDIUM,탄소중립과 기후위기 적응 통합 추진 체계 (탄소중립기본법 §41); 정의로운 전환 연계,Integrated mitigation-adaptation co-benefits in socioeconomic systems,제3차 §V.1; FCCC/SBSTA/2025/L.05
사회·경제 적응,JT-ADAPT,Just Transition with adaptation,●HIGH,기후취약계층 보호 (탄소중립기본법 §50) + 정의로운 전환 특별지구,UAE JTWP outcome focus on vulnerable populations,0.72,HIGH,기후위기 적응 취약계층 (저소득층·고령자·아동 등) 보호 강화 (제3차 §III.4),Just transition addresses vulnerable groups indigenous peoples gender-responsive (UAE JTWP),KEI WP 2024-12; UAE JTWP COP28
기반시설 적응,GGA-IND,GGA infrastructure target 9(e),●HIGH,기후위기 적응형 사회기반시설 인증 (Authority+Organization),UAE-Belém 9(e) Infrastructure & Human Settlements (8 indicators),0.78,HIGH,적응형 도로·교량·항만 설계기준 강화 (제3차 §III.2),Significantly reduce climate impacts on infrastructure and human settlements (UAE-Belém 9e),제3차 §III.2; UAE_Belem_9e_Infrastructure.pdf
기반시설 적응,ADAPT-FIN,Adaptation finance — 인프라 투자,◐MED,기후위기 대응기금 + 그린뉴딜 인프라 예산 (국내 Treasure 강함 GCF 기여국 stance 미약),Tripling adaptation finance by 2035 (FCCC/PA/CMA/2025/L.24),0.55,HIGH,국가 기후위기적응 예산 비중 단계적 확대 목표 (제3차 §VI.1),Triple adaptation finance from $40B (2025) to ~$120B by 2035,FCCC/PA/CMA/2025/L.24; me.go.kr 적응예산 보고
기반시설 적응,L&D-OP,L&D Fund — 인프라 피해 보상,○LOW,재난관리기금 + 특별재난지역 선포 (국내만 Treasure),FRLD non-economic loss infrastructure,0.32,LOW_CONFIDENCE,특별재난지역 재해복구비 지원 (자연재난 구호 및 복구 지침); 국제 FRLD 미연계,Loss and damage to infrastructure from climate hazards — FRLD mechanisms,FRLD COP28; 행안부 재난관리기금 규정
기반시설 적응,NAPs,National Adaptation Plans — 인프라 부문,●HIGH,인프라 설계기준 강화 + 기후변화 영향평가 의무화 (Authority+Organization),UAE-Belém infrastructure resilience NAP integration (FCCC/SBI/2025/17),0.76,HIGH,기후변화 대응 SOC 투자기준 반영 (제3차 §III.2.1); 인프라 부문 적응대책 의무화,NAP should cover infrastructure and human settlements adaptation,제3차 §III.2; FCCC/SBI/2025/17
